Address,Balance
0x43b0eb4dfe7a3a86b4805b6db07e80c285b54553,73057.262201
0x980056e47971a3c5d51d75314225a21210bfd352,40000
0x714d8b5874b3a6a69f289f4e857f4c9670074296,32501
0xbacc3f67078b27e72d1fc082eefc5554c1bf540e,27200
0x77bb60511fb3feb7477f84a408c47f81a4b776ff,24958
0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,20000
0x32a7400174d11ce582c870f24eca2043242c6520,19734
0x8676df84e31f06fa082339787f409bb8a3045784,14806
0xc5da429a250937768ad823f9b294a0cc6cfb8070,13200
0x3a9b105a1c9e221b6070a44527b14348b181bf16,13000
0x20631969b4a231ef942d09b5cd6bfb1ec57c54fb,12000
0xa2308b3997563b1e6690be2c934804058560c2a1,12000
0x72b8cf201ab3b32e33357f641cdd50080efaaeaf,11800
0xc5ad90e43c79915b4964fc15c378ee8d1d69ef33,11173
0x5c81a5d06f2edff3ed323081c78532ad5c68a21a,10876.485291
0x79426ae491d98cbcba35ec3c201d398aa855f96f,10641
0xe5c41caf81cd5a1ff7e60e83bd0b0ba5d3fc682c,10000
0x8c48c2382a28d730e4de56963907761c6244aa96,10000
0x7504c7052a4962f082d541ad20d34d164ec9b828,9876
0x8a4306d63ba78a01322489606310369f9a18c7e3,8555.5
0x6e8c925e243a1a4e10ea4d6bc529ce49935bd418,8148
0x6bbdc93045e351008f61fe15b428db7f2c22ac9d,7989
0x5123f595983b4969a36b0c3efa95d61364dc35af,7428
0x68ad07dfe830025d5c1315f6f2254a7212ea0d05,7232
0xb9f1a4fb457074257463485258f93c82b8f7ccb0,7084
0x155070d43ae394f61dd3f53ddd12b4937aba2863,7021
0xf31277766615df390fd1bd76192687e7f4b28c62,7004
0xec050e9441a195b2c92efbe517a560b085f740d2,6711.9
0x3498fd5c3c1c23f63215d31eef185b74d37f5a6a,6590
0x02ac36a5003a3153054fc9f5d88330f3f296d61d,6317
0xd45addf6709f0d96482d8d7d7b00e392d3a896a2,5650
0x005c5311ea92ec4f4e54737e5898382f842b4100,5404
0x98ba3e1c96cbf2d8d2e5b112e177508cbbc44862,5354
0x83bf976a5b2fa41cc7b7127f4e69bfb1f57ebf98,5200
0x6aebed50878c0b7a633f615662bd2af3c328bdd0,5090
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,4998
0x2df717be53c990b07b158d14db7468de9b828582,4985
0x11e5f0c70074192b3a5a123f67031b21a0867feb,4847
0x5df97a4a01cf8fa49572f271066601fa484540b7,4581
0x17e1a2925edecf7c9806d1eb207cac25b0fcc1aa,4460
0xb75f8b8e9c0ae25bfd04d5954ec8e75ca1f6f41c,4200
0x2da5d8e62c90471261ccb9e4b9da34d768e2f81a,4100
0x533ce78cc2314f3e1091d615e019c24b8ff7fc3a,4000
0x7e9cb5bc105b32c36227590e1809722700d57593,3769
0x0968031cec5a96786e9df97e45d33c5ac68bb3d1,3631.62009
0x93cce2516b689046b90ec18164cff47a2147f5a0,3600
0x4b59f596bdd52e0225938f40577dc55bd2532804,3500
0xbe2333d8adf973d16db63737df6db9f97bde4401,3413
0x245d0ec5a11f98c29c939bfc8284b83ce65482f7,3377.968321
0x4fdcb5a6e13265c59d9f28f183e8ce6484168280,3113
0xd4edafdd4160318569444049ad24bff17e01ae2b,3050
0x0b9a9bea3b9f17715993ea3a395e6180eaa898d3,2885
0xc91bb562e42bd46130e2d3ae4652b6a4eb86bc0f,2650
0x8dd201b444b70d8cc3ce17a4cf44d9b9e7bd494b,2521.5
0x35b93b05e8ec9c89fd6988c3f4f75953e5b1f1c0,2500
0x150b3638b63ab66a52b2743eff71fe309662347b,2500
0xb5453d22fdcc53098aca3029dac6aa80d0d1e8c6,2500
0xd2d18f6f0404a1f4b96903d0726a0405545ec95c,2400
0x6e113eacd58109522af7e81e5113a4bf2fbd951a,2200
0x5fe218e03a4a0ccd7f3eeac9a51fd23c0fc369a1,2154
0xa57c2dae4b582bca80111a4a25585be0c3bc2365,2115
0x024b7370fa03b20b51b17a90c26627cabf5335ba,2100
0xbb06642c3ab7a615f71192873f816b75b0b49866,2100
0x318c6aca46990cd9d12416d789bc3d6d13fa9d3b,2069
0xc372ba7e7e0b5e659511a083466206f126b225b1,2006.67654
0x4bd120e887cc82285aff8408dc208ed32b132bb3,2000
0x5aec212516c0f617e83eb407f0f8a2f792e4ce01,2000
0x45c2700a0b0e84fffffc74dbe4ca415bc940f93d,2000
0xf04d9e56aabafaecdad1c1ce2c7a43c8fc39aa50,2000
0x238566bbd9f528b402a0dab4c5e408797bb2cdf4,2000
0x97f0697776d1d4272aca8a19fa515f21aa3ec0b3,2000
0xb1206619876ef92570ebbdc84bb259817f394577,2000
0xd91e15f8bf4e71ae5142406d15a6bfc1a9c4a1d7,1945.146552
0xb07dfef39e6ac01d42c33576e36b9e7fb2466efa,1930
0x54455faa1fb6015dc689888620e025097c6be784,1897
0x3279fd991aa42a1759bef80b1c3202ee985668d3,1740
0x744b951fd6bf83275f0866f738794dbdec6b257e,1739
0x18cae1c8fed8e8026bd3bb8cd5ded67985e7492a,1649
0x7a30dfe9eb5b0c8fe40f7d65ca0cb5b55d0fa2b3,1628
0x1187d55f7b4dbdbe99557fb5ce64087ee7350ee1,1600
0x4f9be199eafc9128b7e81730048a446786261b2e,1500
0x58edf6e6b1765d094219e6b535595bb6f5a200b9,1500
0xc00639f0fc26bf2fc65bd4594924a1a00db5e9f3,1500
0x0c882efa675aa837b407cc6b3aa17116832c195a,1500
0x6c3ee36228c8705bdefd8af20a6806c1bc1fe9c7,1448.29
0xac2913e9a1df32ef6eb71cc174814e9df5e38364,1400
0x19cbe7d778ff710e01b79e4b8a8c625028c68b51,1337
0xf85f4833dee5c83ea0099d14028a05cd108383d6,1334
0x5ff86558ac6752b8efe2d6879a66e9b0d8ca4a3e,1267
0x8780c8382fb3f0f6bfe0456078b05f72a95b4a09,1202
0x2efb54d28907d4b999709be9fa457df87d296fa6,1193
0xffcb0acd91efed90f2c3e4b04547b3991936c572,1165
0xad66a0a581b9f9c850101dfaef1b3e2e19afe0c5,1120
0x019d1bdd2f8d30784278931571588db324c3f8e1,1117.31
0x691b85a664f5baf2c7b5872affa81ed997f40969,1102
0xaae37283b7763814d9f4047bf4d0654051bf83ae,1100
0x6a563285821f5a903d4a342a0e9517e097da2d5a,1067
0xbb3a3552a7c5ac37e6e05167fe53e9c19624c0c4,1060
0xe08b8329467d4f6943beb028ea516bc1e767c52e,1049
0x58a1df9f525a38c83c6f103e809a1cc4a41fe245,1046.5
0x5affa9856ebd53d82ede5353f08f1549bd5e4bf5,1015
0xd61fd02503c495e8472a6c0c2fbb66247bd33a74,1006
0x7da31f69c38d6ee2f15ea22e129a64202fc20d5f,1001
0xaa7c67f9a1cb57bb3a5a8f17a2d23fb8bc39ef12,1000
0x8a0fa8ea723b35b9c6c134bafa8f8870e1a80a35,1000
0x8456d79ff5e904b0bab861f5bfad893d6e8f53b8,1000
0x0363cd374c38fdb9d9a59512747858ad95597e9d,1000
0x89d675f0a614ea89ae055535589e176abe3a4327,1000
0x20621e35f40cb15fe63d1af047413a6c5dc304b8,1000
0x7ffc9d726a68cd7e8baec4fc191463d8c82223a4,1000
0xa26cad9333d367ddd8ab7abbfc478bd9e48c25a8,1000
0x5fa3aaa265339748f919355566ffaf9b1c6d54f3,998
0xba174b7858eabb7c7a954e1028035607ebb96912,989
0xa3ef71cd0e1f5f70f31609dc8a17c05e7f5ab6db,960
0x4cde4889f915b82fba9b5d0be2769eca6372d83f,925
0xf5cc8ffa2b5c9981db1044314c677b9ad1e448cd,925
0x79f7be822d26c655749814f9fdd18f7576a34ae6,919
0xe28e3cf9d6cb16ab30c961274ff9d4607b1661f3,900
0xfd2f9ff6b342ab0a1d5612f9122312296f77eee2,863
0xa6841252ddb8a71601ddea7c9e492455173e3933,847
0x85e8c21c4cc48acbfd687f9f855c7faa60fca94c,815
0xfc7d5e499f869d8ee0b17c61b0f6f83bbac2fbc2,800
0x0644c1a6d61e0994c73c86febdf64ec8432b1013,800
0x462d912a155ec327b3fd0e2873a865e4d4c11fe9,800
0x53a5b7e25b4660e24e89340381bd8bb838632d36,780
0xdd4091aecbe139cd5542ed2865917992895f503f,769
0xdf1d8265ea5e858322e1fd1b67f2d4ac63a31fc3,764.5
0xa3fc0e196ca5f157b2f51cf889d3798a2a11dd91,755
0x236d4ccf6a5803ee3244c5effc0adda24ce3a7f4,748.67
0xd22f476c4e0f77863622a08576ef4aa19d025271,740
0xbf12faf039e51d227d36a6bf8a0e45bf9a009bfc,740
0x8b2e6e76a4b85eeff8b80b11fdb07c2ae6b246ae,735
0xfdc2a989c67ba6657ad15d1c5d44cc3f941caf24,727
0x07cc77c9fad84e467b1ab79f4ed8e0352dc54a9c,700
0xbcfdbcf49cf5aa2a21171e99757f42cefea2d6aa,650
0x93bf27a3512f28a4ce66ebd0bc0fc8dfd0602448,650
0x43cef94f4bf324a10cfd2afa235ae42a7b8bc9fe,612
0x1146a21769f81c9f2de05eae4dd117241b17d3c5,610
0x2255dc4f19f73a3993f548f50ad26041333df963,610
